Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,44,0,0.0,324.23,87,0,0.0,347.75,46,0,0.0,325.49
August,1,0:30,5,0,0.0,328.23,31,0,0.0,303.67,61,0,0.0,323.94,32,0,0.0,308.4
August,1,10:00,189,1,0.0,319.71,366,2,0.01,335.88,910,10,0.01,327.05,400,5,0.01,306.44
August,1,10:30,229,1,0.0,322.33,413,6,0.02,333.82,1012,18,0.02,331.94,439,10,0.02,315.59
August,1,11:00,244,0,0.0,322.9,454,6,0.01,336.8,1079,6,0.01,337.57,469,6,0.01,316.15
August,1,11:30,252,0,0.0,325.15,497,14,0.03,348.18,1127,9,0.01,335.99,499,10,0.02,319.05
August,1,12:00,260,2,0.01,313.02,551,5,0.01,340.39,1154,19,0.02,337.85,511,9,0.02,314.15
August,1,12:30,259,2,0.01,324.06,556,8,0.01,347.54,1153,19,0.02,341.79,519,6,0.01,325.41
August,1,13:00,257,2,0.01,329.25,574,7,0.01,340.88,1133,11,0.01,345.28,516,8,0.02,321.25
August,1,13:30,264,1,0.0,327.52,578,9,0.01,339.26,1124,13,0.01,345.56,529,8,0.01,321.64
August,1,14:00,264,0,0.0,320.35,604,11,0.02,347.73,1081,12,0.01,346.03,541,7,0.01,319.4
August,1,14:30,274,1,0.0,327.87,614,12,0.02,345.02,1064,13,0.01,345.41,542,16,0.03,325.24
August,1,15:00,269,2,0.01,318.29,623,4,0.01,349.34,1049,12,0.01,345.79,540,14,0.03,327.57
August,1,15:30,273,3,0.01,327.07,614,5,0.01,344.17,1038,18,0.02,346.84,536,13,0.02,322.04
August,1,16:00,262,1,0.0,330.68,614,6,0.01,353.84,1025,6,0.01,348.25,552,6,0.01,326.14
August,1,16:30,245,1,0.0,330.2,589,5,0.01,345.56,984,4,0.0,348.62,525,6,0.01,320.83
