Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.01,293.01,29,0,0.01,263.18,73,0,0.0,329.13,36,0,0.0,317.88
August,1,0:30,5,0,0.0,302.57,22,0,0.0,265.49,51,0,0.0,329.02,27,0,0.0,317.38
August,1,1:00,4,0,0.0,285.66,11,0,0.0,291.02,36,0,0.0,341.76,19,0,0.01,334.58
August,1,1:30,3,0,0.0,281.11,7,0,0.0,300.8,26,0,0.01,339.81,14,0,0.01,335.17
August,1,2:00,3,0,0.0,270.88,5,0,0.0,320.97,18,0,0.01,353.63,9,0,0.02,355.02
August,1,2:30,3,0,0.0,263.2,5,0,0.0,380.01,16,0,0.01,366.88,7,0,0.02,366.25
August,1,3:00,3,0,0.0,220.39,5,0,0.0,432.93,11,0,0.01,380.31,4,0,0.03,377.23
August,1,3:30,2,0,0.0,183.07,4,0,0.0,364.17,10,0,0.0,353.46,3,0,0.01,285.26
August,1,4:00,2,0,0.0,184.3,4,0,0.0,278.36,9,0,0.01,347.23,2,0,0.01,296.88
August,1,4:30,2,0,0.0,210.42,4,0,0.0,301.69,10,0,0.0,315.06,2,0,0.01,280.17
August,1,5:00,2,0,0.0,249.4,3,0,0.0,349.7,11,0,0.0,310.27,2,0,0.01,328.15
August,1,5:30,3,0,0.0,215.23,4,0,0.01,320.9,13,0,0.0,294.45,3,0,0.0,321.81
August,1,6:00,3,0,0.0,509.37,4,0,0.02,303.33,22,0,0.0,257.51,9,0,0.01,251.54
August,1,6:30,4,0,0.06,252.73,6,1,0.14,322.89,28,1,0.02,258.25,16,3,0.17,274.5
August,1,7:00,7,0,0.04,273.39,20,0,0.01,291.07,53,0,0.0,260.99,30,1,0.03,261.94
August,1,7:30,14,1,0.04,302.84,34,1,0.02,284.08,83,1,0.01,264.65,50,1,0.03,272.65
August,1,8:00,31,0,0.0,260.22,73,0,0.0,290.67,136,1,0.0,276.12,92,1,0.01,274.06
August,1,8:30,49,0,0.0,277.54,107,1,0.0,311.02,204,1,0.0,298.98,135,2,0.01,280.49
August,1,9:00,84,0,0.0,295.17,160,0,0.0,321.79,419,2,0.01,313.21,206,2,0.01,304.95
August,1,9:30,102,0,0.0,306.17,201,1,0.0,328.35,559,5,0.01,316.74,254,5,0.02,301.51
August,1,10:00,125,0,0.0,300.23,237,1,0.0,312.92,658,6,0.01,323.24,297,6,0.02,302.82
August,1,10:30,155,0,0.0,305.44,263,2,0.01,329.36,726,9,0.01,329.74,327,8,0.02,309.51
August,1,11:00,166,1,0.0,314.39,294,2,0.01,328.09,788,9,0.01,336.8,363,6,0.02,312.77
August,1,11:30,174,1,0.01,317.47,317,3,0.01,329.71,807,10,0.01,337.11,379,5,0.01,314.43
August,1,12:00,206,1,0.01,317.46,351,2,0.01,326.66,817,8,0.01,336.88,410,4,0.01,314.26
August,1,12:30,212,1,0.01,315.65,355,3,0.01,328.41,784,8,0.01,338.11,396,7,0.02,315.38
August,1,13:00,225,2,0.01,319.44,367,3,0.01,328.98,786,8,0.01,339.15,408,7,0.02,316.61
August,1,13:30,227,1,0.0,321.45,384,3,0.01,329.55,794,9,0.01,339.15,410,7,0.02,316.9
August,1,14:00,235,1,0.0,323.98,399,2,0.01,332.26,792,7,0.01,341.52,424,6,0.01,317.97
August,1,14:30,231,1,0.01,323.1,404,3,0.01,333.04,794,8,0.01,341.97,434,8,0.02,318.42
August,1,15:00,231,2,0.01,323.1,400,1,0.0,331.63,787,4,0.01,339.91,429,5,0.01,318.42
August,1,15:30,232,2,0.01,326.91,403,2,0.0,333.72,757,5,0.01,341.45,433,6,0.01,319.57
August,1,16:00,229,1,0.0,326.04,397,2,0.0,334.97,763,3,0.0,344.77,430,4,0.01,321.62
August,1,16:30,218,1,0.0,328.71,382,2,0.0,335.44,717,3,0.0,344.18,417,2,0.01,322.92
August,1,17:00,188,1,0.0,332.42,360,2,0.01,334.93,674,3,0.0,343.71,395,2,0.01,322.92
August,1,17:30,162,1,0.0,328.29,330,2,0.01,337.68,620,3,0.0,344.92,368,2,0.01,320.42
August,1,18:00,139,1,0.0,327.29,282,1,0.0,337.62,535,2,0.0,344.86,329,1,0.0,320.37
August,1,18:30,124,1,0.0,336.7,267,1,0.0,336.67,519,2,0.0,343.08,290,1,0.0,322.03
August,1,19:00,81,0,0.0,342.66,243,1,0.0,327.43,440,2,0.01,342.8,254,1,0.0,319.44
August,1,19:30,62,0,0.0,329.9,227,1,0.0,325.77,388,2,0.01,338.79,232,2,0.01,318.14
August,1,20:00,47,1,0.02,322.98,199,1,0.01,326.87,331,3,0.01,339.45,203,5,0.03,310.51
August,1,20:30,39,2,0.04,308.86,171,1,0.0,319.46,287,2,0.01,332.57,175,4,0.02,306.26
August,1,21:00,30,2,0.05,295.33,144,1,0.01,326.44,246,1,0.01,337.09,150,6,0.04,317.22
August,1,21:30,23,0,0.01,295.3,115,0,0.0,320.78,202,1,0.0,332.16,123,2,0.02,319.03
August,1,22:00,20,0,0.0,278.15,92,0,0.0,273.24,171,1,0.0,330.6,99,1,0.01,315.37
August,1,22:30,16,2,0.16,272.49,74,0,0.0,267.29,140,0,0.0,328.79,85,1,0.01,310.13
August,1,23:00,14,1,0.07,279.13,56,0,0.0,270.97,102,0,0.0,332.35,66,1,0.01,313.15
August,1,23:30,10,0,0.02,287.02,44,0,0.0,253.43,87,0,0.0,326.75,50,0,0.01,308.29
August,2,0:00,6,0,0.0,287.16,33,0,0.01,306.32,59,0,0.01,322.35,38,0,0.0,302.21
August,2,0:30,4,0,0.0,312.34,22,0,0.0,307.28,43,0,0.0,327.07,25,0,0.0,310.63
August,2,1:00,4,0,0.0,330.14,12,0,0.0,319.39,32,0,0.01,333.17,18,0,0.0,325.07
August,2,1:30,3,0,0.0,236.71,7,0,0.0,350.79,24,0,0.01,324.71,14,0,0.01,295.6
August,2,2:00,2,0,0.0,258.66,5,0,0.0,350.46,17,0,0.01,325.76,9,0,0.02,316.0
August,2,2:30,2,0,0.0,333.86,5,0,0.0,387.42,16,0,0.01,312.13,7,0,0.01,318.13
August,2,3:00,2,0,0.0,275.36,4,0,0.0,454.79,12,0,0.01,335.51,3,0,0.03,330.9
