Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,45,0,0.0,349.65,86,0,0.0,372.08,46,0,0.0,332.92
August,1,0:30,5,0,0.0,328.23,31,0,0.0,318.9,60,0,0.0,338.09,33,0,0.0,309.58
August,1,10:00,192,1,0.0,328.09,365,2,0.01,367.08,899,9,0.01,342.52,406,6,0.01,306.91
August,1,10:30,233,1,0.0,331.7,411,6,0.02,363.99,1000,18,0.02,349.51,445,10,0.02,319.4
August,1,11:00,247,0,0.0,332.49,453,6,0.01,368.46,1066,5,0.01,357.55,475,6,0.01,320.17
August,1,11:30,255,0,0.0,335.6,495,14,0.03,385.49,1114,9,0.01,355.29,506,10,0.02,324.13
August,1,12:00,263,2,0.01,318.85,550,5,0.01,373.83,1141,19,0.02,357.95,518,9,0.02,317.51
August,1,12:30,262,2,0.01,334.09,554,8,0.01,384.53,1140,19,0.02,363.57,526,6,0.01,331.68
August,1,13:00,260,2,0.01,341.26,572,7,0.01,374.56,1124,11,0.01,368.56,523,10,0.02,328.02
August,1,13:30,267,1,0.0,338.87,576,9,0.01,372.14,1125,13,0.01,368.95,536,8,0.02,328.92
August,1,14:00,267,0,0.0,328.96,602,11,0.02,384.81,1148,13,0.01,369.62,549,7,0.01,323.54
August,1,14:30,277,1,0.0,339.35,612,12,0.02,380.75,1138,14,0.01,368.74,549,16,0.03,332.29
August,1,15:00,272,2,0.01,326.12,621,4,0.01,387.22,1128,13,0.01,369.28,547,14,0.03,335.76
August,1,15:30,276,3,0.01,338.24,612,5,0.01,379.48,1117,19,0.02,370.79,543,13,0.02,328.2
August,1,16:00,266,1,0.0,343.23,612,6,0.01,393.96,1101,6,0.01,372.8,559,6,0.01,333.8
August,1,16:30,249,1,0.0,342.56,587,5,0.01,381.56,1053,5,0.0,373.33,532,7,0.01,326.56
August,1,17:00,219,1,0.01,342.15,562,5,0.01,384.36,988,7,0.01,368.48,496,4,0.01,341.35
August,1,17:30,193,1,0.01,338.07,517,4,0.01,390.66,911,6,0.01,371.9,456,7,0.02,328.98
August,1,18:00,168,1,0.0,330.64,479,7,0.01,393.65,814,7,0.01,373.88,411,2,0.01,323.07
August,1,18:30,138,1,0.01,361.81,422,3,0.01,374.26,735,3,0.0,371.9,363,4,0.01,320.27
August,1,19:00,99,0,0.0,364.08,390,6,0.02,378.88,647,6,0.01,363.36,321,5,0.02,325.74
August,1,19:30,75,0,0.0,336.37,337,2,0.01,359.76,568,5,0.01,371.78,287,7,0.02,329.77
August,1,1:00,4,0,0.0,328.23,15,0,0.02,425.59,45,1,0.01,353.71,25,0,0.0,371.16
August,1,1:30,3,0,0.0,328.23,9,0,0.02,362.1,32,0,0.0,318.67,18,0,0.02,323.16
August,1,20:00,58,0,0.01,354.05,290,3,0.01,372.31,485,9,0.02,365.85,245,7,0.03,322.73
August,1,20:30,46,1,0.02,314.94,260,3,0.01,378.8,416,3,0.01,355.65,217,2,0.01,313.84
August,1,21:00,34,1,0.02,337.35,219,2,0.01,369.0,345,1,0.0,362.14,177,10,0.06,333.24
August,1,21:30,25,0,0.0,335.69,181,2,0.01,352.12,282,1,0.0,358.58,157,6,0.04,331.64
August,1,22:00,22,0,0.0,333.8,139,0,0.0,364.83,230,1,0.0,362.36,126,1,0.01,320.32
August,1,22:30,16,3,0.17,396.52,112,0,0.0,334.72,181,0,0.0,356.62,103,1,0.01,309.37
August,1,23:00,13,1,0.1,328.23,83,0,0.0,358.18,139,0,0.0,341.2,80,0,0.0,305.35
August,1,23:30,10,1,0.07,328.23,67,1,0.01,353.99,109,0,0.0,320.75,62,0,0.0,309.35
August,1,2:00,2,0,0.0,328.23,6,0,0.0,362.1,22,1,0.02,344.31,13,0,0.03,326.6
August,1,2:30,2,0,0.0,328.23,6,0,0.0,362.1,22,1,0.03,347.79,9,0,0.01,326.6
August,1,3:00,1,0,0.0,328.23,6,0,0.0,362.1,16,0,0.03,408.09,4,0,0.07,326.6
August,1,3:30,2,0,0.0,328.23,5,0,0.0,362.1,18,0,0.0,386.02,2,0,0.0,326.6
August,1,4:00,2,0,0.0,328.23,4,0,0.0,362.1,15,0,0.02,319.88,1,0,0.04,326.6
August,1,4:30,1,0,0.0,328.23,5,0,0.02,362.1,17,0,0.01,339.0,1,0,0.0,326.6
August,1,5:00,2,0,0.0,328.23,4,0,0.0,362.1,20,0,0.01,323.8,2,0,0.06,326.6
August,1,5:30,2,0,0.0,328.23,4,0,0.0,362.1,24,0,0.01,355.91,4,0,0.0,326.6
August,1,6:00,4,0,0.03,328.23,8,1,0.16,362.1,43,0,0.0,302.74,14,0,0.01,326.6
August,1,6:30,6,3,0.46,328.23,14,10,0.75,362.1,69,2,0.03,279.0,29,3,0.09,265.88
August,1,7:00,13,3,0.21,328.23,40,1,0.02,282.11,117,1,0.01,285.74,51,1,0.01,262.77
August,1,7:30,24,3,0.14,361.82,65,2,0.04,308.93,190,3,0.02,278.93,86,1,0.01,288.06
August,1,8:00,55,0,0.0,288.24,119,0,0.0,305.08,324,2,0.0,302.44,146,2,0.01,272.59
August,1,8:30,93,0,0.0,297.43,167,1,0.01,334.37,458,2,0.0,325.48,203,4,0.02,293.95
August,1,9:00,133,0,0.0,316.53,240,2,0.01,349.53,628,2,0.0,332.33,276,2,0.01,291.97
August,1,9:30,170,1,0.01,319.77,299,2,0.01,355.29,787,5,0.01,323.34,344,7,0.02,310.49
August,2,0:00,7,0,0.04,316.72,49,1,0.02,324.61,74,1,0.01,344.7,44,0,0.0,319.41
August,2,0:30,5,0,0.0,316.72,31,0,0.0,361.09,58,0,0.0,346.02,31,0,0.0,331.24
August,2,10:00,120,1,0.01,299.68,243,3,0.01,342.31,569,2,0.0,332.51,255,3,0.01,304.33
August,2,10:30,146,0,0.0,298.05,282,8,0.03,355.31,641,3,0.01,347.38,295,9,0.03,306.23
August,2,11:00,167,1,0.01,307.48,323,3,0.01,358.02,694,4,0.01,349.79,332,5,0.01,315.68
August,2,11:30,172,2,0.01,302.3,363,7,0.02,364.48,712,11,0.01,357.42,349,3,0.01,317.34
August,2,12:00,185,3,0.01,307.79,378,4,0.01,359.29,726,6,0.01,358.44,366,2,0.01,324.01
August,2,12:30,197,5,0.03,309.66,397,8,0.02,361.43,734,9,0.01,355.85,377,7,0.02,316.09
August,2,13:00,193,1,0.01,313.25,419,11,0.03,363.33,726,5,0.01,359.08,376,6,0.02,325.5
August,2,13:30,191,0,0.0,315.25,438,13,0.03,357.98,725,11,0.02,358.84,380,7,0.02,320.68
August,2,14:00,184,1,0.01,321.24,445,18,0.04,366.95,720,10,0.01,360.32,375,4,0.01,317.92
August,2,14:30,184,2,0.01,316.28,442,12,0.03,373.8,711,4,0.01,355.11,382,12,0.03,328.07
August,2,15:00,182,1,0.0,313.86,434,5,0.01,362.31,681,0,0.0,364.85,370,4,0.01,311.22
August,2,15:30,182,1,0.0,319.53,427,4,0.01,354.95,658,1,0.0,360.91,353,3,0.01,311.36
August,2,16:00,174,1,0.0,335.14,423,3,0.01,371.9,631,1,0.0,361.09,339,3,0.01,326.58
August,2,16:30,158,0,0.0,302.05,401,3,0.01,378.88,590,1,0.0,360.04,315,1,0.0,318.98
August,2,17:00,145,3,0.02,316.51,385,2,0.01,372.03,555,1,0.0,361.92,295,2,0.01,320.97
August,2,17:30,126,1,0.01,324.69,361,4,0.01,376.79,530,1,0.0,358.06,280,1,0.0,322.92
August,2,18:00,116,1,0.01,331.08,330,6,0.02,385.43,500,2,0.0,356.01,260,1,0.0,322.19
August,2,18:30,99,1,0.01,340.68,304,6,0.02,372.75,457,2,0.0,365.53,232,0,0.0,339.75
August,2,19:00,77,0,0.0,330.2,270,5,0.02,371.78,414,3,0.01,354.75,217,1,0.0,332.9
August,2,19:30,61,0,0.01,338.73,242,2,0.01,354.03,369,6,0.02,352.35,195,1,0.0,337.31
August,2,1:00,4,0,0.02,316.72,16,1,0.07,402.3,43,0,0.01,335.18,25,0,0.0,338.89
August,2,1:30,2,0,0.04,316.72,8,0,0.02,351.69,35,0,0.01,345.81,18,0,0.01,325.11
August,2,20:00,48,0,0.01,302.95,212,8,0.04,355.57,329,3,0.01,360.76,170,1,0.01,319.68
August,2,20:30,38,1,0.03,279.28,183,2,0.01,342.05,281,1,0.0,353.42,152,1,0.01,310.76
August,2,21:00,28,1,0.03,300.53,147,3,0.02,344.03,236,1,0.01,355.16,130,3,0.02,317.95
August,2,21:30,21,0,0.01,302.97,128,1,0.01,349.12,193,0,0.0,356.2,110,0,0.0,327.02
August,2,22:00,15,0,0.0,369.64,102,1,0.01,335.73,161,0,0.0,343.8,92,0,0.0,308.25
August,2,22:30,11,1,0.06,316.72,84,1,0.01,351.33,134,0,0.0,345.24,76,0,0.0,315.92
