Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.02,317.63,32,0,0.01,297.87,68,0,0.0,331.93,39,0,0.01,322.38
August,1,0:30,6,0,0.01,319.92,21,0,0.0,298.8,53,0,0.0,341.15,30,0,0.01,320.18
August,1,1:00,5,0,0.01,328.77,11,0,0.01,333.72,37,0,0.0,346.07,20,0,0.01,343.64
August,1,1:30,4,0,0.01,311.48,8,0,0.01,329.47,29,0,0.01,344.56,15,0,0.02,338.48
August,1,2:00,4,0,0.0,278.72,6,0,0.0,338.96,20,0,0.01,348.4,10,0,0.03,346.02
August,1,2:30,4,0,0.0,279.18,6,0,0.0,352.21,18,0,0.01,354.74,8,0,0.02,354.93
August,1,3:00,3,0,0.0,290.49,5,0,0.0,356.12,12,0,0.01,379.85,5,0,0.04,369.23
August,1,3:30,3,0,0.0,248.47,5,0,0.0,326.61,12,0,0.01,384.63,4,0,0.01,301.86
August,1,4:00,3,0,0.0,230.06,4,0,0.0,303.03,11,0,0.01,364.06,4,0,0.02,297.87
August,1,4:30,3,0,0.0,235.93,4,0,0.01,312.7,12,0,0.01,348.67,4,0,0.02,302.31
August,1,5:00,3,0,0.0,275.77,4,0,0.0,341.25,13,0,0.0,324.23,4,0,0.01,296.0
August,1,5:30,4,0,0.0,277.9,4,0,0.01,353.88,16,0,0.0,308.85,4,0,0.01,298.11
August,1,6:00,5,0,0.01,461.98,5,0,0.03,333.06,23,0,0.0,263.34,8,0,0.02,248.81
August,1,6:30,6,1,0.16,274.72,8,2,0.28,341.87,34,1,0.02,281.84,15,3,0.2,264.66
August,1,7:00,9,0,0.04,273.92,23,0,0.02,304.69,61,0,0.0,268.3,32,1,0.03,259.35
August,1,7:30,15,1,0.05,295.86,40,1,0.03,305.92,102,1,0.01,278.13,53,2,0.03,272.23
August,1,8:00,32,0,0.01,279.69,79,1,0.01,303.1,168,0,0.0,284.02,95,1,0.01,268.87
August,1,8:30,48,0,0.01,298.36,114,1,0.01,316.22,257,3,0.01,312.13,140,1,0.01,284.75
