Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,34,0,0.0,316.66,75,0,0.0,347.55,43,0,0.0,325.27
August,1,0:30,5,0,0.0,328.23,23,0,0.0,291.99,52,0,0.0,318.98,31,0,0.0,304.75
August,1,10:00,187,1,0.0,318.01,272,1,0.01,330.64,783,8,0.01,322.71,377,5,0.01,302.41
August,1,10:30,227,1,0.0,321.14,306,5,0.02,328.16,871,16,0.02,328.58,413,9,0.02,313.39
August,1,11:00,241,0,0.0,321.83,337,4,0.01,331.74,928,5,0.01,335.33,442,6,0.01,314.06
August,1,11:30,249,0,0.0,324.54,369,10,0.03,345.4,970,8,0.01,333.44,470,9,0.02,317.54
August,1,12:00,257,2,0.01,309.98,409,4,0.01,336.05,993,17,0.02,335.67,481,8,0.02,311.72
August,1,12:30,255,2,0.01,323.22,412,6,0.01,344.63,992,17,0.02,340.4,489,5,0.01,324.18
August,1,13:00,254,2,0.01,329.46,426,5,0.01,336.64,979,9,0.01,344.59,486,9,0.02,320.97
August,1,13:30,260,1,0.0,327.38,429,6,0.01,334.69,979,11,0.01,344.92,499,8,0.02,321.75
August,1,14:00,261,0,0.0,318.77,448,8,0.02,344.86,1000,11,0.01,345.48,510,6,0.01,317.02
August,1,14:30,270,1,0.0,327.79,456,9,0.02,341.6,991,12,0.01,344.74,511,15,0.03,324.72
August,1,15:00,266,2,0.01,316.3,462,3,0.01,346.79,982,11,0.01,345.2,509,13,0.03,327.76
August,1,15:30,269,3,0.01,326.83,455,4,0.01,340.58,972,16,0.02,346.46,505,13,0.02,321.12
August,1,16:00,259,1,0.0,331.17,455,5,0.01,352.19,959,6,0.01,348.15,520,6,0.01,326.04
August,1,16:30,242,1,0.0,330.59,437,4,0.01,342.25,917,4,0.0,348.59,495,6,0.01,319.68
August,1,17:00,214,1,0.01,330.23,418,4,0.01,344.49,860,6,0.01,344.52,461,4,0.01,332.68
August,1,17:30,188,1,0.01,326.69,385,3,0.01,349.55,793,6,0.01,347.39,424,7,0.02,321.81
August,1,18:00,164,1,0.0,320.23,357,5,0.01,351.95,709,6,0.01,349.06,383,2,0.01,316.61
August,1,18:30,135,1,0.01,347.32,314,3,0.01,336.4,640,3,0.0,347.39,337,4,0.01,314.15
August,1,19:00,97,0,0.0,349.3,290,5,0.02,340.1,563,5,0.01,340.22,299,5,0.02,318.96
August,1,19:30,73,0,0.0,325.21,251,2,0.01,324.77,495,4,0.01,347.3,267,6,0.02,322.5
August,1,1:00,4,0,0.0,328.23,11,0,0.02,362.1,39,0,0.01,332.11,23,0,0.0,358.88
August,1,1:30,3,0,0.0,328.23,7,0,0.02,362.1,28,0,0.0,302.66,17,0,0.02,316.69
August,1,20:00,56,0,0.01,340.58,216,2,0.01,334.83,422,8,0.02,342.31,228,6,0.03,316.31
August,1,20:30,44,1,0.02,306.58,194,2,0.01,340.04,363,2,0.01,333.74,202,2,0.01,308.5
August,1,21:00,33,1,0.02,326.06,163,2,0.01,332.18,300,1,0.0,339.2,165,9,0.06,325.55
August,1,21:30,25,0,0.0,324.62,135,1,0.01,318.64,246,1,0.0,336.2,146,6,0.04,324.14
August,1,22:00,21,0,0.0,322.97,103,0,0.0,328.83,200,1,0.0,339.38,117,1,0.01,314.2
August,1,22:30,16,3,0.17,377.49,83,0,0.0,304.68,157,0,0.0,334.56,96,1,0.01,304.57
August,1,23:00,12,1,0.1,328.23,62,0,0.0,323.5,121,0,0.0,321.6,75,0,0.0,301.03
August,1,23:30,9,1,0.07,328.23,50,1,0.01,320.14,95,0,0.0,304.41,57,0,0.0,304.56
August,1,2:00,2,0,0.0,328.23,5,0,0.0,362.1,19,0,0.02,324.21,12,0,0.03,326.6
August,1,2:30,2,0,0.0,328.23,4,0,0.0,362.1,19,1,0.03,327.13,8,0,0.01,326.6
August,1,3:00,1,0,0.0,328.23,4,0,0.0,362.1,14,0,0.03,348.75,4,0,0.07,326.6
August,1,3:30,2,0,0.0,328.23,4,0,0.0,362.1,15,0,0.0,359.26,2,0,0.0,326.6
August,1,4:00,2,0,0.0,328.23,3,0,0.0,362.1,13,0,0.02,348.75,1,0,0.04,326.6
August,1,4:30,1,0,0.0,328.23,3,0,0.02,362.1,14,0,0.01,348.75,1,0,0.0,326.6
August,1,5:00,2,0,0.0,328.23,3,0,0.0,362.1,17,0,0.01,306.98,2,0,0.06,326.6
August,1,5:30,2,0,0.0,328.23,3,0,0.0,362.1,21,0,0.01,333.95,4,0,0.0,326.6
August,1,6:00,4,0,0.03,328.23,6,1,0.16,362.1,37,0,0.0,289.28,13,0,0.01,326.6
August,1,6:30,6,3,0.46,328.23,10,7,0.75,362.1,60,2,0.03,269.33,27,2,0.09,266.35
August,1,7:00,13,3,0.21,328.23,30,0,0.02,262.49,102,1,0.01,274.99,47,1,0.01,263.61
August,1,7:30,23,3,0.14,347.33,48,2,0.04,283.99,166,3,0.02,269.27,80,1,0.01,285.84
August,1,8:00,54,0,0.0,283.37,88,0,0.0,280.9,282,1,0.0,289.03,135,1,0.01,272.24
August,1,8:30,91,0,0.0,291.36,125,1,0.01,304.4,399,1,0.0,308.38,189,3,0.02,291.01
August,1,9:00,129,0,0.0,307.96,179,1,0.01,316.56,547,1,0.0,314.14,256,2,0.01,289.27
August,1,9:30,165,1,0.01,310.78,223,2,0.01,321.18,685,5,0.01,306.58,319,7,0.02,305.55
August,2,0:00,6,0,0.04,316.72,37,1,0.02,295.17,72,1,0.01,322.45,42,0,0.0,306.86
August,2,0:30,5,0,0.0,316.72,24,0,0.0,324.39,56,0,0.0,323.56,30,0,0.0,316.98
August,2,10:00,108,1,0.01,294.11,186,2,0.01,309.35,552,2,0.0,312.27,244,3,0.01,293.97
August,2,10:30,131,0,0.0,292.68,216,6,0.03,319.76,622,3,0.01,324.69,282,9,0.03,295.59
